# x	y	u	v	s2n	mask
  1.2400	  0.9694	 -0.0387	 -0.0220	  2.2759	  0.0000
  2.3221	  0.9694	 -0.0146	 -0.0324	  2.3820	  0.0000
  3.4043	  0.9694	  0.0088	 -0.0316	  2.4114	  0.0000
  4.4865	  0.9694	  0.0078	 -0.0327	  2.3968	  0.0000
  5.5686	  0.9694	 -0.0035	 -0.0181	  2.3956	  0.0000
  6.6508	  0.9694	  0.0066	 -0.0296	  2.1637	  0.0000
  7.7330	  0.9694	  0.0125	 -0.0335	  2.3588	  0.0000
  8.8151	  0.9694	  0.0061	 -0.0300	  1.8569	  0.0000
  9.8973	  0.9694	 -0.0599	 -0.0461	  0.0000	  1.0000
 10.9795	  0.9694	  0.0411	 -0.0672	  2.0035	  0.0000
 12.0616	  0.9694	 -0.0230	 -0.0438	  2.2038	  0.0000
 13.1438	  0.9694	 -0.0189	 -0.0819	  1.9199	  0.0000
 14.2260	  0.9694	  0.0019	 -0.0613	  1.9681	  0.0000
 15.3081	  0.9694	 -0.0566	 -0.0627	  0.0000	  1.0000
 16.3903	  0.9694	 -0.0190	 -0.0061	  1.9878	  0.0000
 17.4724	  0.9694	 -0.0325	 -0.0298	  1.9844	  0.0000
 18.5546	  0.9694	 -0.0112	 -0.0131	  2.1416	  0.0000
 19.6368	  0.9694	 -0.0033	 -0.0443	  2.6993	  0.0000
 20.7189	  0.9694	 -0.0160	 -0.0104	  2.1158	  0.0000
 21.8011	  0.9694	  0.0225	 -0.0004	  2.3853	  0.0000
 22.8833	  0.9694	 -0.0016	  0.0042	  2.1389	  0.0000
 23.9654	  0.9694	  0.0223	 -0.0069	  1.9119	  0.0000
 25.0476	  0.9694	 -0.0026	 -0.0177	  0.0000	  1.0000
 26.1298	  0.9694	 -0.0020	  0.0205	  2.0577	  0.0000
 27.2119	  0.9694	  0.0184	 -0.0219	  1.9676	  0.0000
 28.2941	  0.9694	  0.0311	 -0.0156	  2.0614	  0.0000
 29.3763	  0.9694	  0.0183	 -0.0791	  2.1142	  0.0000
 30.4584	  0.9694	  0.0370	 -0.0710	  1.9553	  0.0000
 31.5406	  0.9694	  0.0177	 -0.0142	  2.2385	  0.0000
