# x	y	u	v	s2n	mask
  0.8793	  0.9694	  0.0492	  0.0113	  0.0000	  1.0000
  1.2400	  0.9694	  0.0637	  0.0113	  0.0000	  1.0000
  1.6007	  0.9694	  0.0744	  0.0079	  0.0000	  1.0000
  1.9614	  0.9694	  0.1170	  0.0170	  2.0733	  0.0000
  2.3221	  0.9694	  0.1679	  0.0175	  2.1073	  0.0000
  2.6829	  0.9694	  0.1650	  0.0069	  2.1170	  0.0000
  3.0436	  0.9694	  0.1777	 -0.0074	  1.9138	  0.0000
  3.4043	  0.9694	  0.1128	 -0.0477	  1.9795	  0.0000
  3.7650	  0.9694	  0.0536	 -0.0675	  2.1214	  0.0000
  4.1258	  0.9694	  0.0743	 -0.0649	  2.2049	  0.0000
  4.4865	  0.9694	  0.0483	 -0.0843	  2.0369	  0.0000
  4.8472	  0.9694	  0.0649	 -0.0832	  2.0581	  0.0000
  5.2079	  0.9694	  0.0792	 -0.1017	  2.1449	  0.0000
  5.5686	  0.9694	  0.0679	 -0.1324	  2.0903	  0.0000
  5.9294	  0.9694	  0.0699	 -0.1036	  2.0402	  0.0000
  6.2901	  0.9694	  0.0462	 -0.1012	  2.1554	  0.0000
  6.6508	  0.9694	  0.0172	 -0.1048	  2.1857	  0.0000
  7.0115	  0.9694	 -0.0063	 -0.0938	  2.3534	  0.0000
  7.3722	  0.9694	 -0.0021	 -0.0846	  2.2937	  0.0000
  7.7330	  0.9694	  0.0158	 -0.0638	  2.1950	  0.0000
  8.0937	  0.9694	  0.0409	 -0.0396	  2.1557	  0.0000
  8.4544	  0.9694	  0.0470	 -0.0214	  2.0170	  0.0000
  8.8151	  0.9694	  0.0511	 -0.0188	  2.1516	  0.0000
  9.1759	  0.9694	  0.0404	 -0.0257	  2.3035	  0.0000
  9.5366	  0.9694	  0.0287	 -0.0215	  2.0790	  0.0000
  9.8973	  0.9694	  0.0295	 -0.0222	  2.1039	  0.0000
 10.2580	  0.9694	  0.0379	 -0.0285	  1.9273	  0.0000
 10.6187	  0.9694	  0.0239	 -0.0195	  1.9611	  0.0000
 10.9795	  0.9694	  0.0223	 -0.0214	  1.9317	  0.0000
