# x	y	u	v	s2n	mask
  0.0001	  0.0001	 -0.0339	 -0.0259	  3.2814	  0.0000
  0.0002	  0.0001	 -0.0152	 -0.0777	  1.9463	  0.0000
  0.0003	  0.0001	  0.0192	 -0.0665	  3.5425	  0.0000
  0.0004	  0.0001	 -0.0580	  0.0036	  2.1511	  0.0000
  0.0005	  0.0001	  0.0020	 -0.0652	  1.7869	  0.0000
  0.0006	  0.0001	  0.0222	 -0.0681	  3.1599	  0.0000
  0.0007	  0.0001	  0.0274	  0.0043	  2.4936	  0.0000
  0.0008	  0.0001	  0.0535	  0.0069	  2.3282	  0.0000
  0.0009	  0.0001	 -0.0066	 -0.0523	  2.5244	  0.0000
  0.0010	  0.0001	  0.0586	 -0.0844	  2.9001	  0.0000
  0.0011	  0.0001	  0.0017	 -0.0265	  2.6264	  0.0000
  0.0012	  0.0001	  0.0401	 -0.0031	  2.3814	  0.0000
  0.0013	  0.0001	 -0.0197	 -0.0562	  2.7475	  0.0000
  0.0014	  0.0001	 -0.0183	 -0.0762	  2.7249	  0.0000
  0.0015	  0.0001	  0.0069	 -0.0365	  3.0157	  0.0000
  0.0016	  0.0001	  0.0160	 -0.0405	  2.8895	  0.0000
  0.0017	  0.0001	 -0.0473	  0.0158	  2.5683	  0.0000
  0.0018	  0.0001	  0.0251	 -0.0585	  2.9518	  0.0000
  0.0019	  0.0001	 -0.0079	 -0.0822	  2.7375	  0.0000
  0.0020	  0.0001	  0.0075	 -0.0455	  2.5825	  0.0000
  0.0021	  0.0001	  0.0532	 -0.1245	  2.5853	  0.0000
  0.0022	  0.0001	  0.0270	 -0.1005	  2.1238	  0.0000
  0.0023	  0.0001	 -0.0228	  0.0398	  3.3571	  0.0000
  0.0024	  0.0001	  0.0068	 -0.0222	  2.3019	  0.0000
  0.0025	  0.0001	  0.0206	 -0.0439	  0.0000	  1.0000
  0.0026	  0.0001	  0.0580	 -0.1075	  2.1792	  0.0000
  0.0027	  0.0001	 -0.0050	  0.0247	  1.9941	  0.0000
  0.0028	  0.0001	  0.0336	 -0.0072	  2.1306	  0.0000
  0.0029	  0.0001	  0.0448	 -0.0839	  2.5673	  0.0000
  0.0030	  0.0001	  0.0570	 -0.0568	  2.0907	  0.0000
  0.0031	  0.0001	  0.0472	 -0.0872	  1.9098	  0.0000
  0.0032	  0.0001	  0.1322	 -0.0925	  2.1435	  0.0000
  0.0033	  0.0001	  0.0552	 -0.0071	  2.5796	  0.0000
  0.0034	  0.0001	  0.0482	 -0.0297	  2.6287	  0.0000
  0.0035	  0.0001	  0.0232	 -0.0808	  2.3610	  0.0000
  0.0036	  0.0001	  0.0327	 -0.1020	  2.0340	  0.0000
  0.0037	  0.0001	  0.0728	 -0.0348	  1.7942	  0.0000
  0.0038	  0.0001	  0.1779	 -0.0505	  1.4563	  0.0000
  0.0039	  0.0001	  0.0588	 -0.0577	  2.1918	  0.0000
  0.0040	  0.0001	 -0.0453	 -0.0171	  2.4184	  0.0000
  0.0001	  0.0002	 -0.0237	 -0.0230	  2.5073	  0.0000
  0.0002	  0.0002	  0.0088	 -0.0142	  2.8195	  0.0000
  0.0003	  0.0002	  0.0037	 -0.0658	  2.9835	  0.0000
  0.0004	  0.0002	 -0.0044	 -0.0163	  3.4716	  0.0000
  0.0005	  0.0002	  0.0060	  0.0032	  2.3574	  0.0000
  0.0006	  0.0002	 -0.0039	 -0.0487	  4.3629	  0.0000
  0.0007	  0.0002	  0.0378	 -0.0831	  2.7837	  0.0000
  0.0008	  0.0002	 -0.0327	  0.0151	  2.5656	  0.0000
  0.0009	  0.0002	  0.0133	 -0.0226	  3.0511	  0.0000
  0.0010	  0.0002	 -0.0206	 -0.0750	  2.5422	  0.0000
  0.0011	  0.0002	 -0.0158	 -0.0424	  2.6454	  0.0000
  0.0012	  0.0002	 -0.0771	 -0.0197	  2.4590	  0.0000
  0.0013	  0.0002	 -0.0098	 -0.1054	  2.9392	  0.0000
  0.0014	  0.0002	 -0.0204	 -0.0768	  2.9465	  0.0000
  0.0015	  0.0002	  0.0344	 -0.0625	  3.8069	  0.0000
  0.0016	  0.0002	  0.0372	 -0.0710	  2.9290	  0.0000
  0.0017	  0.0002	 -0.0166	 -0.0145	  3.2596	  0.0000
  0.0018	  0.0002	 -0.0105	 -0.0250	  2.4701	  0.0000
  0.0019	  0.0002	  0.0248	 -0.0222	  2.3683	  0.0000
  0.0020	  0.0002	  0.0099	 -0.0453	  2.2353	  0.0000
  0.0021	  0.0002	  0.0456	  0.0080	  3.3060	  0.0000
  0.0022	  0.0002	  0.0500	 -0.0003	  2.6794	  0.0000
  0.0023	  0.0002	  0.0571	  0.0059	  3.0372	  0.0000
  0.0024	  0.0002	  0.1231	 -0.0555	  2.8356	  0.0000
  0.0025	  0.0002	  0.0433	 -0.0204	  2.0078	  0.0000
  0.0026	  0.0002	 -0.0426	 -0.0862	  2.2109	  0.0000
  0.0027	  0.0002	 -0.0364	 -0.0178	  2.4387	  0.0000
  0.0028	  0.0002	 -0.0723	 -0.1062	  2.2938	  0.0000
  0.0029	  0.0002	  0.0561	 -0.0464	  2.5412	  0.0000
  0.0030	  0.0002	  0.0722	 -0.0882	  2.7151	  0.0000
  0.0031	  0.0002	  0.0589	 -0.0231	  2.5649	  0.0000
  0.0032	  0.0002	  0.0956	 -0.0767	  2.7698	  0.0000
  0.0033	  0.0002	  0.0349	 -0.0409	  2.4288	  0.0000
  0.0034	  0.0002	 -0.0128	 -0.0096	  2.8862	  0.0000
  0.0035	  0.0002	  0.0537	 -0.0334	  2.7142	  0.0000
  0.0036	  0.0002	  0.0466	 -0.0435	  1.6050	  0.0000
  0.0037	  0.0002	  0.0699	 -0.0863	  2.7028	  0.0000
  0.0038	  0.0002	  0.0429	 -0.0613	  2.6874	  0.0000
  0.0039	  0.0002	  0.0601	 -0.0638	  2.1352	  0.0000
  0.0040	  0.0002	  0.0107	 -0.0935	  1.8436	  0.0000
  0.0001	  0.0003	 -0.1410	  0.0532	  2.7391	  0.0000
  0.0002	  0.0003	 -0.0896	  0.0677	  3.1477	  0.0000
  0.0003	  0.0003	 -0.0432	 -0.0097	  3.0601	  0.0000
  0.0004	  0.0003	 -0.0712	 -0.0360	  2.1082	  0.0000
