# x	y	u	v	s2n	mask
  0.2849	  0.2124	 -0.0102	 -0.0200	  2.0749	  0.0000
  0.5543	  0.2124	  0.0018	 -0.0221	  2.4069	  0.0000
  0.8237	  0.2124	  0.0087	 -0.0008	  2.4483	  0.0000
  1.0930	  0.2124	  0.0080	 -0.0083	  2.3120	  0.0000
  1.3624	  0.2124	  0.0045	 -0.0082	  2.1588	  0.0000
  1.6318	  0.2124	  0.0033	 -0.0011	  1.8987	  0.0000
  1.9012	  0.2124	  0.0018	 -0.0040	  2.1421	  0.0000
  2.1705	  0.2124	  0.0117	 -0.0120	  0.0000	  1.0000
  2.4399	  0.2124	  0.0107	 -0.0125	  1.9908	  0.0000
  2.7093	  0.2124	  0.0084	 -0.0117	  1.7893	  0.0000
  2.9787	  0.2124	  0.0035	 -0.0188	  1.8939	  0.0000
  3.2480	  0.2124	 -0.0017	 -0.0115	  2.0689	  0.0000
  3.5174	  0.2124	  0.0090	 -0.0095	  1.9342	  0.0000
  3.7868	  0.2124	  0.0052	 -0.0121	  2.0131	  0.0000
  4.0562	  0.2124	  0.0005	 -0.0068	  0.0000	  1.0000
  4.3255	  0.2124	  0.0070	 -0.0036	  1.7864	  0.0000
  4.5949	  0.2124	 -0.0037	 -0.0042	  2.0591	  0.0000
  4.8643	  0.2124	 -0.0069	  0.0075	  1.9244	  0.0000
  5.1337	  0.2124	 -0.0016	 -0.0116	  1.7673	  0.0000
  5.4030	  0.2124	  0.0144	 -0.0068	  1.7927	  0.0000
  5.6724	  0.2124	  0.0107	  0.0022	  1.6667	  0.0000
  5.9418	  0.2124	  0.0013	 -0.0131	  1.7772	  0.0000
  6.2111	  0.2124	  0.0126	 -0.0143	  1.7711	  0.0000
  6.4805	  0.2124	 -0.0045	 -0.0068	  1.8821	  0.0000
  6.7499	  0.2124	 -0.0025	 -0.0090	  1.9312	  0.0000
  7.0193	  0.2124	  0.0076	 -0.0160	  1.8151	  0.0000
  7.2886	  0.2124	  0.0122	 -0.0081	  1.7785	  0.0000
  7.5580	  0.2124	  0.0074	 -0.0076	  2.0599	  0.0000
  7.8274	  0.2124	  0.0060	 -0.0150	  1.7624	  0.0000
  8.0968	  0.2124	 -0.0021	 -0.0105	  1.9287	  0.0000
  8.3661	  0.2124	  0.0028	 -0.0144	  1.8426	  0.0000
  8.6355	  0.2124	  0.0093	 -0.0162	  1.8611	  0.0000
  8.9049	  0.2124	  0.0087	 -0.0076	  2.0085	  0.0000
  9.1743	  0.2124	 -0.0002	 -0.0036	  2.1200	  0.0000
  9.4436	  0.2124	  0.0013	 -0.0056	  1.9242	  0.0000
  9.7130	  0.2124	  0.0075	 -0.0088	  2.1018	  0.0000
  9.9824	  0.2124	  0.0092	 -0.0093	  2.1635	  0.0000
  0.2849	  0.4818	  0.0034	 -0.0174	  2.5000	  0.0000
  0.5543	  0.4818	 -0.0003	 -0.0126	  2.3752	  0.0000
  0.8237	  0.4818	  0.0005	 -0.0131	  2.0282	  0.0000
  1.0930	  0.4818	  0.0050	 -0.0112	  2.4166	  0.0000
  1.3624	  0.4818	  0.0049	 -0.0051	  2.0891	  0.0000
  1.6318	  0.4818	  0.0072	  0.0029	  1.9577	  0.0000
  1.9012	  0.4818	  0.0097	  0.0022	  1.9117	  0.0000
  2.1705	  0.4818	  0.0139	 -0.0054	  2.1540	  0.0000
  2.4399	  0.4818	  0.0024	 -0.0138	  2.1240	  0.0000
  2.7093	  0.4818	  0.0119	 -0.0222	  0.0000	  1.0000
  2.9787	  0.4818	  0.0001	 -0.0179	  1.8921	  0.0000
  3.2480	  0.4818	  0.0110	 -0.0102	  2.0355	  0.0000
  3.5174	  0.4818	  0.0064	 -0.0085	  1.9069	  0.0000
  3.7868	  0.4818	 -0.0019	 -0.0088	  2.0396	  0.0000
  4.0562	  0.4818	  0.0058	 -0.0023	  1.9754	  0.0000
  4.3255	  0.4818	  0.0003	 -0.0053	  0.0000	  1.0000
  4.5949	  0.4818	 -0.0025	 -0.0075	  1.9369	  0.0000
  4.8643	  0.4818	 -0.0123	 -0.0054	  1.6197	  0.0000
  5.1337	  0.4818	  0.0022	 -0.0014	  1.9277	  0.0000
  5.4030	  0.4818	  0.0006	 -0.0054	  1.7692	  0.0000
  5.6724	  0.4818	  0.0043	 -0.0094	  0.0000	  1.0000
  5.9418	  0.4818	  0.0051	 -0.0139	  1.7822	  0.0000
  6.2111	  0.4818	  0.0120	 -0.0104	  1.7938	  0.0000
  6.4805	  0.4818	  0.0016	 -0.0218	  1.7576	  0.0000
  6.7499	  0.4818	 -0.0012	 -0.0109	  1.8668	  0.0000
  7.0193	  0.4818	  0.0011	 -0.0115	  1.8572	  0.0000
  7.2886	  0.4818	 -0.0024	 -0.0030	  1.8915	  0.0000
  7.5580	  0.4818	  0.0019	  0.0021	  1.8586	  0.0000
  7.8274	  0.4818	  0.0117	 -0.0048	  1.8509	  0.0000
  8.0968	  0.4818	  0.0035	 -0.0144	  1.9342	  0.0000
  8.3661	  0.4818	  0.0150	 -0.0137	  1.5974	  0.0000
  8.6355	  0.4818	 -0.0004	 -0.0188	  1.6245	  0.0000
  8.9049	  0.4818	  0.0007	  0.0051	  1.9789	  0.0000
  9.1743	  0.4818	 -0.0063	 -0.0004	  1.9253	  0.0000
  9.4436	  0.4818	  0.0102	 -0.0158	  1.8535	  0.0000
  9.7130	  0.4818	  0.0077	 -0.0155	  1.9844	  0.0000
  9.9824	  0.4818	  0.0046	 -0.0189	  2.2547	  0.0000
  0.2849	  0.7511	 -0.0073	 -0.0230	  2.0474	  0.0000
  0.5543	  0.7511	 -0.0051	 -0.0096	  2.1813	  0.0000
  0.8237	  0.7511	 -0.0156	 -0.0011	  0.0000	  1.0000
  1.0930	  0.7511	 -0.0017	 -0.0050	  2.3596	  0.0000
  1.3624	  0.7511	  0.0121	  0.0105	  2.3366	  0.0000
  1.6318	  0.7511	  0.0148	 -0.0038	  2.0325	  0.0000
  1.9012	  0.7511	  0.0175	 -0.0045	  1.8520	  0.0000
  2.1705	  0.7511	  0.0274	 -0.0104	  1.9535	  0.0000
  2.4399	  0.7511	  0.0081	 -0.0222	  1.9631	  0.0000
  2.7093	  0.7511	  0.0092	 -0.0220	  1.8321	  0.0000
  2.9787	  0.7511	  0.0039	 -0.0283	  0.0000	  1.0000
  3.2480	  0.7511	  0.0078	 -0.0085	  2.1101	  0.0000
  3.5174	  0.7511	  0.0056	 -0.0127	  1.7375	  0.0000
  3.7868	  0.7511	  0.0011	 -0.0149	  2.0671	  0.0000
  4.0562	  0.7511	  0.0007	 -0.0074	  1.9487	  0.0000
  4.3255	  0.7511	  0.0007	 -0.0028	  2.0980	  0.0000
  4.5949	  0.7511	  0.0011	 -0.0003	  1.9411	  0.0000
  4.8643	  0.7511	 -0.0026	 -0.0042	  1.8459	  0.0000
  5.1337	  0.7511	  0.0050	  0.0009	  1.9126	  0.0000
  5.4030	  0.7511	  0.0087	  0.0005	  1.5480	  0.0000
  5.6724	  0.7511	  0.0030	 -0.0083	  1.6190	  0.0000
  5.9418	  0.7511	 -0.0110	 -0.0179	  1.8038	  0.0000
  6.2111	  0.7511	  0.0017	 -0.0225	  1.7646	  0.0000
  6.4805	  0.7511	 -0.0010	 -0.0169	  1.7405	  0.0000
  6.7499	  0.7511	  0.0009	 -0.0069	  1.9262	  0.0000
  7.0193	  0.7511	  0.0018	 -0.0164	  1.7260	  0.0000
  7.2886	  0.7511	 -0.0010	  0.0007	  1.9464	  0.0000
  7.5580	  0.7511	 -0.0003	 -0.0081	  1.9935	  0.0000
  7.8274	  0.7511	 -0.0013	 -0.0054	  1.8146	  0.0000
  8.0968	  0.7511	  0.0038	 -0.0163	  1.7035	  0.0000
  8.3661	  0.7511	  0.0163	 -0.0148	  1.8754	  0.0000
  8.6355	  0.7511	 -0.0004	 -0.0186	  1.7158	  0.0000
  8.9049	  0.7511	  0.0155	 -0.0063	  1.8210	  0.0000
  9.1743	  0.7511	  0.0058	 -0.0107	  0.0000	  1.0000
  9.4436	  0.7511	  0.0047	 -0.0134	  1.8670	  0.0000
  9.7130	  0.7511	  0.0095	 -0.0190	  2.1451	  0.0000
  9.9824	  0.7511	  0.0046	 -0.0148	  2.0797	  0.0000
  0.2849	  1.0205	 -0.0194	 -0.0083	  2.3157	  0.0000
  0.5543	  1.0205	 -0.0170	 -0.0027	  2.2533	  0.0000
  0.8237	  1.0205	 -0.0107	 -0.0061	  2.4391	  0.0000
  1.0930	  1.0205	 -0.0007	  0.0067	  2.2316	  0.0000
  1.3624	  1.0205	 -0.0233	 -0.0073	  0.0000	  1.0000
  1.6318	  1.0205	  0.0215	  0.0027	  1.8982	  0.0000
  1.9012	  1.0205	  0.0544	  0.0003	  1.5869	  0.0000
  2.1705	  1.0205	  0.0836	 -0.0354	  1.2651	  0.0000
  2.4399	  1.0205	  0.0069	 -0.0459	  1.3646	  0.0000
  2.7093	  1.0205	  0.0024	 -0.0255	  1.6089	  0.0000
  2.9787	  1.0205	 -0.0068	 -0.0161	  1.9532	  0.0000
  3.2480	  1.0205	 -0.0073	 -0.0157	  1.8318	  0.0000
  3.5174	  1.0205	 -0.0056	 -0.0140	  1.9217	  0.0000
  3.7868	  1.0205	  0.0008	 -0.0068	  1.9686	  0.0000
  4.0562	  1.0205	 -0.0040	 -0.0005	  1.8943	  0.0000
  4.3255	  1.0205	 -0.0087	 -0.0050	  1.9334	  0.0000
  4.5949	  1.0205	  0.0015	 -0.0074	  1.9039	  0.0000
  4.8643	  1.0205	  0.0058	 -0.0023	  2.0281	  0.0000
  5.1337	  1.0205	  0.0066	  0.0039	  1.6308	  0.0000
  5.4030	  1.0205	  0.0246	 -0.0080	  1.6453	  0.0000
  5.6724	  1.0205	  0.0244	 -0.0148	  1.5627	  0.0000
  5.9418	  1.0205	 -0.0014	 -0.0087	  0.0000	  1.0000
  6.2111	  1.0205	  0.0014	 -0.0212	  1.8756	  0.0000
