# x	y	u	v	s2n	mask
  1.2400	  0.9694	  0.1797	  0.1144	  2.1781	  0.0000
  2.3221	  0.9694	  0.2480	  0.0103	  2.0578	  0.0000
  3.4043	  0.9694	  0.1799	 -0.0467	  2.0902	  0.0000
  4.4865	  0.9694	  0.2326	 -0.0769	  1.8656	  0.0000
  5.5686	  0.9694	  0.2231	 -0.0639	  1.6060	  0.0000
  6.6508	  0.9694	  0.1370	 -0.0603	  1.7537	  0.0000
  7.7330	  0.9694	  0.1256	 -0.0867	  1.8691	  0.0000
  8.8151	  0.9694	  0.0827	 -0.1271	  1.7642	  0.0000
  9.8973	  0.9694	  0.0891	 -0.1651	  1.8274	  0.0000
 10.9795	  0.9694	  0.0756	 -0.0717	  1.8747	  0.0000
 12.0616	  0.9694	  0.0359	 -0.1560	  0.0000	  1.0000
 13.1438	  0.9694	  0.0453	 -0.1039	  1.9400	  0.0000
 14.2260	  0.9694	  0.0243	 -0.0675	  1.7208	  0.0000
 15.3081	  0.9694	  0.0280	 -0.0662	  1.8919	  0.0000
 16.3903	  0.9694	 -0.0075	 -0.0426	  1.8115	  0.0000
 17.4724	  0.9694	  0.0410	 -0.0341	  1.8784	  0.0000
 18.5546	  0.9694	  0.0249	 -0.0439	  1.8500	  0.0000
 19.6368	  0.9694	  0.0118	 -0.0631	  1.8686	  0.0000
 20.7189	  0.9694	 -0.0263	 -0.0703	  1.8492	  0.0000
 21.8011	  0.9694	  0.0110	 -0.0265	  1.5489	  0.0000
 22.8833	  0.9694	 -0.0100	 -0.0597	  1.7101	  0.0000
 23.9654	  0.9694	  0.0100	 -0.0475	  0.0000	  1.0000
 25.0476	  0.9694	  0.0252	 -0.0585	  1.6280	  0.0000
 26.1298	  0.9694	  0.0202	 -0.0517	  1.6926	  0.0000
 27.2119	  0.9694	  0.0220	 -0.0563	  1.9360	  0.0000
 28.2941	  0.9694	  0.0018	 -0.0595	  1.8039	  0.0000
 29.3763	  0.9694	  0.0238	 -0.0359	  1.8287	  0.0000
 30.4584	  0.9694	  0.0058	 -0.0008	  1.7381	  0.0000
 31.5406	  0.9694	  0.0091	 -0.0399	  1.8391	  0.0000
 32.6227	  0.9694	  0.0663	 -0.0503	  1.8065	  0.0000
 33.7049	  0.9694	  0.0679	 -0.0672	  1.6497	  0.0000
 34.7871	  0.9694	  0.0276	 -0.0664	  1.8283	  0.0000
 35.8692	  0.9694	  0.0003	 -0.0840	  1.9677	  0.0000
 36.9514	  0.9694	  0.0063	 -0.0678	  1.8548	  0.0000
 38.0336	  0.9694	  0.0395	 -0.0309	  1.7129	  0.0000
 39.1157	  0.9694	  0.0399	 -0.0186	  1.9485	  0.0000
 40.1979	  0.9694	  0.0602	 -0.0764	  1.9374	  0.0000
 41.2801	  0.9694	  0.0577	 -0.0815	  1.9750	  0.0000
 42.3622	  0.9694	  0.0720	 -0.0414	  2.0998	  0.0000
 43.4444	  0.9694	  0.0519	 -0.0476	  2.1332	  0.0000
  1.2400	  2.0516	  0.2308	  0.1117	  1.7247	  0.0000
  2.3221	  2.0516	  0.3857	  0.0389	  1.5147	  0.0000
  3.4043	  2.0516	  0.3344	 -0.0597	  1.4381	  0.0000
  4.4865	  2.0516	  0.2965	 -0.0709	  1.7105	  0.0000
  5.5686	  2.0516	  0.2321	 -0.0806	  1.6354	  0.0000
  6.6508	  2.0516	  0.2395	 -0.1058	  1.6648	  0.0000
  7.7330	  2.0516	  0.1601	 -0.1081	  1.8164	  0.0000
  8.8151	  2.0516	  0.0345	 -0.0936	  1.5364	  0.0000
  9.8973	  2.0516	  0.0955	 -0.1398	  1.8020	  0.0000
 10.9795	  2.0516	  0.1040	 -0.1606	  1.6278	  0.0000
 12.0616	  2.0516	  0.0387	 -0.1361	  1.7661	  0.0000
 13.1438	  2.0516	  0.0056	 -0.1060	  1.9022	  0.0000
 14.2260	  2.0516	  0.0058	 -0.0860	  1.7918	  0.0000
 15.3081	  2.0516	  0.0227	 -0.0674	  1.6823	  0.0000
 16.3903	  2.0516	 -0.0395	 -0.0536	  1.6945	  0.0000
 17.4724	  2.0516	 -0.0116	 -0.0061	  1.8479	  0.0000
 18.5546	  2.0516	  0.0055	 -0.0608	  0.0000	  1.0000
 19.6368	  2.0516	 -0.0049	 -0.0317	  1.9572	  0.0000
 20.7189	  2.0516	 -0.0009	 -0.0519	  1.7789	  0.0000
 21.8011	  2.0516	 -0.0077	 -0.0255	  1.6672	  0.0000
 22.8833	  2.0516	  0.0010	 -0.0635	  1.9127	  0.0000
 23.9654	  2.0516	  0.0366	 -0.0782	  1.9023	  0.0000
 25.0476	  2.0516	 -0.0088	 -0.0511	  1.6963	  0.0000
 26.1298	  2.0516	  0.0450	 -0.0572	  1.6928	  0.0000
 27.2119	  2.0516	  0.0363	 -0.0166	  1.6253	  0.0000
 28.2941	  2.0516	  0.0280	 -0.0156	  1.5870	  0.0000
 29.3763	  2.0516	  0.0186	 -0.0379	  1.8829	  0.0000
 30.4584	  2.0516	  0.0351	 -0.0792	  1.8524	  0.0000
 31.5406	  2.0516	  0.0365	 -0.0876	  1.6391	  0.0000
 32.6227	  2.0516	  0.0291	 -0.0545	  0.0000	  1.0000
 33.7049	  2.0516	  0.0297	 -0.0387	  1.9102	  0.0000
 34.7871	  2.0516	  0.0224	 -0.0173	  1.8116	  0.0000
 35.8692	  2.0516	  0.0586	 -0.0514	  1.7851	  0.0000
 36.9514	  2.0516	  0.0384	 -0.0571	  0.0000	  1.0000
 38.0336	  2.0516	  0.0635	 -0.0633	  1.6518	  0.0000
 39.1157	  2.0516	  0.0177	 -0.0930	  1.8334	  0.0000
 40.1979	  2.0516	  0.0270	 -0.0941	  1.8352	  0.0000
 41.2801	  2.0516	  0.0518	 -0.0896	  1.9434	  0.0000
 42.3622	  2.0516	  0.0664	 -0.1094	  2.1663	  0.0000
 43.4444	  2.0516	  0.0503	 -0.0813	  1.9994	  0.0000
  1.2400	  3.1338	  0.3428	  0.0809	  1.7652	  0.0000
  2.3221	  3.1338	  0.4185	  0.0383	  1.6689	  0.0000
  3.4043	  3.1338	  0.3615	 -0.0533	  1.4683	  0.0000
  4.4865	  3.1338	  0.3493	 -0.1360	  1.5283	  0.0000
  5.5686	  3.1338	  0.3772	 -0.1801	  1.4114	  0.0000
  6.6508	  3.1338	  0.1964	 -0.1892	  1.5491	  0.0000
  7.7330	  3.1338	  0.2361	 -0.2574	  1.5160	  0.0000
