# x	y	u	v	s2n	mask
  1.2400	  0.9694	  0.0306	  0.0091	  1.6451	  0.0000
  2.3221	  0.9694	  0.0434	 -0.0378	  1.6775	  0.0000
  3.4043	  0.9694	  0.0475	  0.0051	  1.5558	  0.0000
  4.4865	  0.9694	  0.0723	  0.0058	  1.6107	  0.0000
  5.5686	  0.9694	  0.0173	 -0.0220	  1.6274	  0.0000
  6.6508	  0.9694	  0.0270	 -0.0231	  1.6330	  0.0000
  7.7330	  0.9694	  0.0079	 -0.0073	  1.6749	  0.0000
  8.8151	  0.9694	  0.0570	 -0.0302	  1.6039	  0.0000
  9.8973	  0.9694	  0.0745	 -0.0512	  1.6823	  0.0000
 10.9795	  0.9694	  0.0440	 -0.0658	  0.0000	  1.0000
 12.0616	  0.9694	  0.0073	 -0.0816	  1.6976	  0.0000
 13.1438	  0.9694	 -0.0160	 -0.0629	  1.6374	  0.0000
 14.2260	  0.9694	 -0.0252	 -0.0428	  1.6166	  0.0000
 15.3081	  0.9694	  0.0191	 -0.0775	  0.0000	  1.0000
 16.3903	  0.9694	  0.0362	 -0.0489	  1.6329	  0.0000
 17.4724	  0.9694	  0.0078	 -0.0937	  1.5147	  0.0000
 18.5546	  0.9694	 -0.0020	 -0.0182	  1.5524	  0.0000
 19.6368	  0.9694	  0.0205	 -0.0296	  1.6612	  0.0000
 20.7189	  0.9694	 -0.0046	 -0.0381	  1.5234	  0.0000
 21.8011	  0.9694	  0.0409	 -0.0497	  1.4810	  0.0000
 22.8833	  0.9694	 -0.0125	 -0.0215	  1.4807	  0.0000
 23.9654	  0.9694	  0.0102	 -0.0130	  1.5784	  0.0000
 25.0476	  0.9694	  0.0303	 -0.0624	  1.5463	  0.0000
 26.1298	  0.9694	  0.0408	 -0.0707	  1.6065	  0.0000
 27.2119	  0.9694	  0.0327	 -0.0641	  1.6246	  0.0000
 28.2941	  0.9694	  0.0389	 -0.0261	  1.4983	  0.0000
 29.3763	  0.9694	 -0.0143	 -0.0670	  1.5758	  0.0000
 30.4584	  0.9694	  0.0190	 -0.0550	  1.5350	  0.0000
 31.5406	  0.9694	 -0.0009	 -0.0597	  1.6203	  0.0000
 32.6227	  0.9694	  0.0119	 -0.0512	  1.5302	  0.0000
 33.7049	  0.9694	  0.0210	 -0.0340	  1.5655	  0.0000
 34.7871	  0.9694	  0.0318	 -0.0239	  1.6078	  0.0000
 35.8692	  0.9694	  0.0566	 -0.0303	  1.6037	  0.0000
 36.9514	  0.9694	 -0.0063	 -0.0583	  1.4895	  0.0000
 38.0336	  0.9694	  0.0349	 -0.0551	  1.5227	  0.0000
 39.1157	  0.9694	  0.0488	 -0.0775	  1.5903	  0.0000
 40.1979	  0.9694	  0.0514	 -0.0564	  1.6051	  0.0000
 41.2801	  0.9694	 -0.0023	 -0.0535	  1.6512	  0.0000
 42.3622	  0.9694	  0.0461	 -0.0393	  1.6490	  0.0000
 43.4444	  0.9694	  0.0006	 -0.0389	  1.6926	  0.0000
  1.2400	  2.0516	 -0.0771	  0.1608	  0.0000	  1.0000
  2.3221	  2.0516	  0.0384	  0.0130	  1.6132	  0.0000
  3.4043	  2.0516	  0.0382	  0.0322	  1.7416	  0.0000
  4.4865	  2.0516	  0.0532	  0.0478	  1.5960	  0.0000
  5.5686	  2.0516	  0.0487	  0.0137	  1.5846	  0.0000
  6.6508	  2.0516	  0.0548	 -0.0116	  1.6875	  0.0000
  7.7330	  2.0516	  0.0419	 -0.0130	  1.6586	  0.0000
  8.8151	  2.0516	  0.0657	 -0.0147	  1.5149	  0.0000
  9.8973	  2.0516	  0.0714	 -0.0413	  1.6122	  0.0000
 10.9795	  2.0516	  0.0670	 -0.0345	  1.6299	  0.0000
 12.0616	  2.0516	  0.0613	 -0.0821	  1.5964	  0.0000
 13.1438	  2.0516	  0.0399	 -0.0773	  1.5398	  0.0000
 14.2260	  2.0516	  0.0187	 -0.0637	  1.5018	  0.0000
 15.3081	  2.0516	  0.0148	 -0.0863	  0.0000	  1.0000
 16.3903	  2.0516	  0.0031	 -0.0614	  1.5884	  0.0000
 17.4724	  2.0516	  0.0148	 -0.0527	  1.5322	  0.0000
 18.5546	  2.0516	  0.0309	 -0.0466	  1.4332	  0.0000
 19.6368	  2.0516	  0.0449	 -0.0030	  1.5240	  0.0000
 20.7189	  2.0516	  0.0286	 -0.0518	  1.5244	  0.0000
 21.8011	  2.0516	  0.0078	 -0.0849	  1.5608	  0.0000
 22.8833	  2.0516	  0.0032	 -0.0227	  1.5234	  0.0000
 23.9654	  2.0516	  0.0274	 -0.0468	  1.5734	  0.0000
 25.0476	  2.0516	  0.0315	 -0.0134	  1.6718	  0.0000
 26.1298	  2.0516	  0.0076	  0.0048	  1.5756	  0.0000
 27.2119	  2.0516	  0.0226	 -0.0625	  1.5412	  0.0000
 28.2941	  2.0516	  0.0325	 -0.0296	  1.5708	  0.0000
 29.3763	  2.0516	  0.0450	 -0.0146	  1.5938	  0.0000
 30.4584	  2.0516	  0.0565	 -0.0387	  1.6711	  0.0000
 31.5406	  2.0516	  0.0399	 -0.0479	  1.5821	  0.0000
 32.6227	  2.0516	  0.0199	 -0.0428	  0.0000	  1.0000
 33.7049	  2.0516	  0.0374	 -0.0175	  1.5317	  0.0000
 34.7871	  2.0516	  0.0146	 -0.0801	  1.5422	  0.0000
 35.8692	  2.0516	  0.0268	 -0.0602	  1.6556	  0.0000
